iter	Passed	Remaining
427	928	1241
428	930	1238
429	932	1235
430	936	1235
431	937	1232
432	939	1230
433	940	1227
434	942	1223
435	944	1221
436	945	1218
437	947	1215
438	950	1214
439	952	1212
440	953	1209
441	955	1206
442	957	1203
443	958	1200
444	960	1197
445	963	1197
446	966	1195
447	968	1193
448	969	1190
449	971	1187
450	973	1184
451	974	1181
452	976	1179
453	978	1176
454	979	1173
455	981	1170
456	982	1167
457	983	1164
458	985	1161
459	987	1158
460	988	1155
461	991	1154
462	993	1152
463	994	1149
464	996	1146
465	997	1143
466	998	1139
467	1000	1136
468	1001	1133
469	1002	1130
470	1005	1128
471	1006	1126
472	1007	1122
473	1009	1119
474	1010	1116
475	1011	1113
476	1013	1110
477	1014	1107
478	1016	1105
479	1018	1102
480	1019	1100
481	1021	1097
482	1022	1094
483	1023	1091
484	1025	1088
485	1026	1085
486	1027	1082
487	1029	1079
488	1030	1076
489	1032	1074
490	1034	1071
491	1035	1069
492	1036	1066
493	1038	1063
494	1039	1060
495	1040	1057
496	1042	1054
497	1043	1052
498	1045	1049
499	1047	1047
500	1049	1045
501	1050	1042
502	1051	1039
503	1053	1036
504	1055	1034
505	1057	1032
506	1058	1029
507	1059	1026
508	1061	1024
509	1063	1021
510	1064	1018
511	1066	1016
512	1067	1013
513	1073	1014
514	1081	1018
515	1083	1016
516	1085	1014
517	1086	1011
518	1088	1008
519	1089	1005
520	1091	1003
521	1093	1001
522	1095	998
523	1096	996
524	1097	993
525	1099	990
526	1100	987
527	1101	984
528	1103	982
529	1104	979
530	1106	977
531	1108	975
532	1109	972
533	1110	969
534	1112	966
535	1113	963
536	1114	961
537	1116	958
538	1117	955
539	1118	952
540	1121	951
541	1122	948
542	1124	946
543	1125	943
544	1126	940
545	1127	937
546	1129	935
547	1130	932
548	1131	929
549	1132	926
550	1135	925
551	1136	922
552	1138	919
553	1139	917
554	1140	914
555	1141	911
556	1143	909
557	1144	906
558	1145	903
559	1146	901
560	1148	898
561	1150	896
562	1151	894
563	1153	891
564	1154	888
565	1155	886
566	1157	883
567	1158	881
568	1159	878
569	1161	875
570	1162	873
571	1164	871
572	1166	869
573	1167	866
574	1169	864
575	1170	861
576	1171	859
577	1173	856
578	1174	853
579	1176	851
580	1177	849
581	1180	847
582	1181	845
583	1183	842
584	1184	840
585	1185	837
586	1186	834
587	1187	832
588	1189	829
589	1190	827
590	1192	825
591	1194	823
592	1196	821
593	1197	818
594	1199	816
595	1200	813
596	1201	811
597	1202	808
598	1204	806
599	1205	803
600	1207	801
601	1209	799
602	1211	797
603	1212	795
604	1213	792
605	1215	790
606	1216	787
607	1217	785
608	1219	782
609	1220	780
610	1222	778
611	1224	776
612	1225	773
613	1226	771
614	1227	768
615	1229	766
616	1230	763
617	1231	761
618	1232	758
619	1234	756
620	1236	754
621	1238	752
622	1239	750
623	1240	747
624	1242	745
625	1243	742
626	1244	740
627	1245	738
628	1247	735
629	1248	733
630	1252	732
631	1254	730
632	1256	728
633	1258	726
634	1259	723
635	1260	721
636	1262	719
637	1264	717
638	1267	716
639	1269	713
640	1270	711
641	1271	709
642	1273	706
643	1274	704
644	1275	702
645	1276	699
646	1279	697
647	1280	695
648	1282	693
649	1283	691
650	1284	688
651	1286	686
652	1287	684
653	1288	681
654	1290	679
655	1292	677
656	1294	675
657	1295	673
658	1297	671
659	1298	668
660	1299	666
661	1301	664
662	1302	661
663	1303	659
664	1305	657
665	1306	655
666	1308	653
667	1310	651
668	1311	648
669	1312	646
670	1314	644
671	1315	642
672	1316	639
673	1318	637
674	1319	635
675	1320	633
676	1322	631
677	1324	629
678	1326	626
679	1327	624
680	1328	622
681	1330	620
682	1331	617
683	1332	615
684	1334	613
685	1335	611
686	1337	609
687	1339	607
688	1340	605
689	1341	602
690	1343	600
691	1344	598
692	1347	596
693	1348	594
694	1351	592
695	1352	590
696	1354	588
697	1356	586
698	1357	584
699	1359	582
700	1360	580
701	1361	578
702	1363	575
703	1365	574
704	1366	571
705	1368	569
706	1369	567
707	1371	565
708	1372	563
709	1373	561
710	1375	558
711	1376	556
712	1377	554
713	1380	552
714	1381	550
715	1382	548
716	1384	546
717	1385	544
718	1386	541
719	1388	539
720	1390	537
721	1391	535
722	1394	534
723	1396	532
724	1397	530
725	1399	528
726	1400	526
727	1402	523
728	1403	521
729	1405	519
730	1407	517
731	1409	516
732	1410	513
733	1412	511
734	1416	510
735	1418	508
736	1421	507
737	1423	505
738	1425	503
739	1427	501
740	1430	499
741	1432	498
742	1435	496
743	1439	495
744	1441	493
745	1443	491
746	1445	489
747	1446	487
748	1448	485
749	1450	483
750	1451	481
751	1453	479
752	1454	477
753	1455	475
754	1457	472
755	1458	470
756	1460	468
757	1461	466
758	1462	464
759	1465	462
760	1467	460
761	1468	458
762	1470	456
763	1471	454
764	1472	452
765	1473	450
766	1475	448
767	1476	446
768	1478	444
769	1480	442
770	1481	440
771	1483	438
772	1484	435
773	1485	433
774	1487	431
775	1488	429
776	1489	427
777	1491	425
778	1493	423
779	1495	421
780	1496	419
781	1498	417
782	1499	415
783	1500	413
784	1502	411
785	1503	409
786	1504	407
787	1506	405
788	1508	403
789	1510	401
790	1511	399
791	1513	397
792	1514	395
793	1515	393
794	1517	391
795	1518	389
796	1520	387
797	1522	385
798	1524	383
799	1525	381
800	1527	379
801	1528	377
802	1529	375
803	1531	373
804	1532	371
805	1534	369
806	1535	367
807	1538	365
808	1539	363
809	1542	361
810	1543	359
811	1544	357
812	1546	355
813	1547	353
814	1548	351
815	1550	349
816	1552	347
817	1553	345
818	1554	343
819	1556	341
820	1557	339
821	1558	337
822	1560	335
823	1561	333
824	1563	331
825	1564	329
826	1566	327
827	1568	325
828	1569	323
829	1570	321
830	1571	319
831	1573	317
832	1574	315
833	1575	313
834	1576	311
835	1578	309
836	1580	307
837	1581	305
838	1583	303
839	1584	301
840	1586	299
841	1587	297
842	1588	295
843	1589	293
844	1591	291
845	1592	289
846	1596	288
847	1597	286
848	1598	284
849	1600	282
850	1601	280
851	1602	278
852	1604	276
853	1605	274
854	1606	272
855	1613	271
856	1615	269
857	1617	267
858	1619	265
859	1620	263
860	1624	262
861	1627	260
862	1629	258
863	1630	256
864	1632	254
865	1633	252
866	1634	250
867	1636	248
868	1638	247
869	1640	245
870	1642	243
871	1643	241
872	1645	239
873	1646	237
874	1648	235
875	1650	233
876	1653	231
877	1655	230
878	1657	228
879	1659	226
880	1660	224
881	1662	222
882	1663	220
883	1665	218
884	1667	216
885	1669	214
886	1671	212
887	1673	211
888	1675	209
889	1676	207
890	1678	205
891	1680	203
892	1682	201
893	1684	199
894	1685	197
895	1687	195
896	1689	193
897	1690	192
898	1692	190
899	1696	188
900	1698	186
901	1700	184
902	1702	182
903	1704	180
904	1705	179
905	1707	177
906	1708	175
907	1711	173
908	1713	171
909	1714	169
910	1716	167
911	1717	165
912	1718	163
913	1720	161
914	1721	159
915	1722	157
916	1725	156
917	1726	154
918	1727	152
919	1729	150
920	1730	148
921	1732	146
922	1733	144
923	1734	142
924	1735	140
925	1737	138
926	1739	136
927	1740	135
928	1742	133
929	1743	131
930	1745	129
931	1746	127
932	1747	125
933	1749	123
934	1750	121
935	1751	119
936	1754	117
937	1755	116
938	1757	114
939	1758	112
940	1759	110
941	1761	108
942	1762	106
943	1763	104
944	1764	102
945	1766	100
946	1768	98
947	1769	97
948	1772	95
949	1774	93
950	1776	91
951	1777	89
952	1779	87
953	1782	85
954	1784	84
955	1787	82
956	1789	80
957	1790	78
958	1793	76
959	1794	74
960	1797	72
961	1799	71
962	1801	69
963	1802	67
964	1804	65
965	1805	63
966	1806	61
967	1808	59
968	1810	57
969	1812	56
970	1814	54
971	1815	52
972	1816	50
973	1818	48
974	1819	46
975	1820	44
976	1822	42
977	1824	41
978	1826	39
979	1827	37
980	1829	35
981	1830	33
982	1831	31
983	1832	29
984	1834	27
985	1835	26
986	1836	24
987	1837	22
988	1840	20
989	1841	18
990	1843	16
991	1844	14
992	1845	13
993	1846	11
994	1848	9
995	1849	7
996	1850	5
997	1852	3
998	1854	1
999	1856	0
